PetType,Breed,Breed_Korean,Breed_English,CoatType,CoatColor,Size
PAF02,0,믹스묘,Mix breed cat,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB01,PAB02,PAB03,PAB04,PAB05"
PAF02,1,나폴레옹,Napoleon,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,2,노르웨이숲 고양이,Norwegian Forest Cat,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,3,니벨룽,Nebelung,PAD02,PAE03,PAB03
PAF02,4,데본 렉스,Devon Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,5,돈스코이,Donskoy,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,6,드레곤 리,Dragon Li,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,7,드왈프 고양이,Dwarf cat,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,8,라가머핀,Ragamuffin,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,9,라이코이,Lykoi,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,10,라팜,LaPerm,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,11,랙돌,Ragdoll,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF02,12,러시안 블루,Russian Blue,PAD01,PAE03,PAB03
PAF02,13,맹크스,Manx,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,14,먼치킨,Munchkin,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB02,PAB03"
PAF02,15,메인쿤,Maine Coon,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF02,16,메콩 밥테일,Mekong Bobtail,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,17,민스킨,Minskin,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,18,발리네즈,Balinese,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,19,밤비노,Bambino,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,20,버만,Birman,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,21,버미즈,Burmese,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,22,버밀라,Burmilla,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,23,벵갈,Bengal,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,24,봄베이,Bombay,PAD01,PAE02,PAB03
PAF02,25,브라질리안 쇼트헤어,Brazilian Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,26,브리티시 롱헤어,British Longhair,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,27,브리티시 세미-롱헤어,British Semi-longhair,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,28,브리티시 쇼트헤어,British Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,29,사바나,Savannah,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,30,샤트록스,Chartreux,PAD01,PAE03,PAB04
PAF02,31,샨틸리-티파니,Chantilly-Tiffany,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,32,샴,Siamese,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,33,세렝게티,Serengeti,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,34,셀커크 렉스,Selkirk Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,35,소말리,Somali,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,36,소코케,Sokoke,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,37,스노우슈,Snowshoe,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,38,스코티시폴드,Scottish Fold,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,39,스핑크스,Sphynx,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,40,시베리안,Siberian,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF02,41,싱가푸라,Singapura,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF02,42,싸이프러스,Cyprus,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,43,아라비안 마우,Arabian Mau,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,44,아메리칸 밥테일,American Bobtail,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,45,아메리칸 쇼트헤어,American Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,46,아메리칸 와이어헤어,American Wirehair,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,47,아메리칸 컬,American Curl,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,48,아비시니안,Abyssinian,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,49,아시안,Asian,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,50,아시안 세미-롱헤어,Asian Semi-longhair,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,51,엔조틱 쇼트헤어,Exotic Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,52,오레곤 렉스,Oregon Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,53,오리엔탈 롱헤어,Oriental Longhair,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,54,오리엔탈 바이컬러,Oriental Bicolor,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,55,오리엔탈 쇼트헤어,Oriental Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF02,56,오스트레일리안 미스트,Australian Mist,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,57,오시캣,Ocicat,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,58,오호스 아즐레스,Ojos Azules,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,59,유러피안 쇼트헤어,European Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,60,이집션 마우,Egyptian Mau,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,61,자바니즈,Javanese,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,62,재패니즈 밥테일,Japanese Bobtail,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,63,저먼 랙스,German Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,64,쵸시,Chausie,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,65,치토,Cheetoh,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,66,카오마니,Khao Manee,PAD01,PAE01,PAB03
PAF02,67,캘리포니아 스팽글드,California Spangled,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,68,컬러포인트 쇼트헤어,Colorpoint Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,69,코니쉬 렉스,Cornish Rex,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,70,코랫,Korat,PAD01,PAE03,PAB03
PAF02,71,코리안 밥테일,Korean Bobtail,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,72,코리안 쇼트헤어,Korean Shorthair,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,73,쿠리리안 밥테일,Kurilian Bobtail,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,74,킴릭,Cymric,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,75,타이,Thai,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,76,터키시 반,Turkish Van,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF02,77,터키시 앙고라,Turkish Angora,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,78,토이거,Toyger,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,79,통키니즈,Tonkinese,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,80,페르시안,Persian,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,81,피터볼드,Peterbald,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF02,82,픽시 밥,Pixie-bob,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB04,PAB05"
PAF02,83,하바나 브라운,Havana Brown,PAD01,PAE05,PAB03
PAF02,84,하이랜더,Highlander,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"
PAF02,85,히말라얀,Himalayan,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB03,PAB04"